,tenure,paperlessBilling,monthlyCharges,totalCharges,churn,gender,age,phoneService,multipleLines,onlineSecurity,onlineBackup,deviceProtection,techSupport,streamingTV,streamingMovies,paymentMethod_Bank transfer (automatic),paymentMethod_Credit card (automatic),paymentMethod_Electronic check,paymentMethod_Mailed check,internetService_DSL,internetService_Fiber optic,internetService_No
44,62,1,24.25,7.3162158960701,0,1,48,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1
45,8,0,54.65,6.082675427161366,0,0,22,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0
46,45,1,25.9,7.061763091461485,0,0,29,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
47,11,0,50.55,6.322655002505326,0,0,52,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0
48,35,1,62.15,7.685358491082399,0,0,36,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0
49,48,0,20.65,6.899924699866949,0,0,23,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
50,29,0,33.75,6.887297437079741,0,1,31,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
51,30,0,82.05,7.808932373046244,0,1,62,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0
52,66,1,84.0,8.620651899784468,0,1,89,1,1,1,0,1,1,1,1,0,0,0,1,1,0,0
53,12,1,78.95,6.854776354191251,1,0,26,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0
54,71,1,66.85,8.46534184661067,0,1,27,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0
55,52,0,21.0,6.996681488176539,0,1,36,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
56,25,1,98.5,7.809338381984018,1,0,43,1,0,0,1,1,0,1,1,0,0,1,0,0,1,0
57,66,0,45.55,8.008797945221955,0,0,26,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0
58,68,1,110.0,8.920121751872404,1,1,65,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0
59,5,0,24.3,4.808111029984782,0,1,80,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
60,32,0,30.15,6.872956773439442,0,0,62,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
61,43,0,94.35,8.308457841650414,0,1,66,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0
62,72,0,19.4,7.242654851043029,0,1,72,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
63,55,1,96.75,8.579651425255848,1,1,51,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0
64,43,1,91.65,8.27943080371543,0,0,38,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0
65,37,1,76.5,7.948561885553859,1,0,50,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0
66,64,1,54.6,8.159203097332261,0,0,27,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0
67,36,0,31.05,7.020011961327804,0,0,64,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
68,41,0,20.65,6.742467814743962,0,0,78,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
69,56,1,99.8,8.628698787333777,0,0,53,1,1,0,0,1,0,1,1,0,1,0,0,0,1,0
70,6,0,20.7,4.829912458665998,0,0,80,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
71,3,1,74.4,5.4125385106380595,1,1,74,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0
72,4,0,20.85,4.4355674016019115,0,0,89,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
73,33,1,88.95,7.984922592438746,0,1,35,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0
74,27,1,65.0,7.470793774195062,1,0,88,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0
75,1,0,19.75,3.0325462466767075,0,1,42,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
76,13,1,85.95,7.019609663756279,0,0,70,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0
77,25,1,58.6,7.290292882446597,1,0,59,0,0,1,1,1,0,1,1,0,1,0,0,1,0,0
78,67,0,50.55,8.127950780883916,0,1,37,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
79,64,0,20.2,7.165338903609885,0,0,55,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
80,61,1,101.05,8.726651525865638,0,0,82,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0
81,64,1,84.3,8.593450281132991,0,1,25,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0
82,71,0,23.95,7.439236107673161,0,1,53,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1
83,30,0,65.0,7.576097340623111,0,1,53,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0
84,70,1,108.15,8.93214647739671,0,0,86,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0
85,6,0,19.7,4.7808027546312495,0,0,29,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
86,14,1,80.9,7.033153688376471,0,0,38,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0
87,22,1,84.15,7.524183389128678,0,0,90,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
88,22,0,20.15,6.096500009941862,0,1,49,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
89,20,0,82.4,7.407924322559599,1,0,22,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0
90,72,1,89.05,8.766020083899342,0,1,75,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0
91,16,0,20.4,5.791182664937034,0,0,24,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
92,43,1,84.25,8.195264680235866,0,1,66,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0
93,53,1,94.85,8.522787513972547,1,0,48,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0
94,32,0,20.55,6.490116369942264,0,0,22,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
95,15,1,105.35,7.365970952475831,0,0,49,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0
96,61,1,20.55,7.134532221528768,0,1,86,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
97,33,0,74.75,7.811062083297998,0,1,46,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0
98,1,1,24.8,3.250374491927572,1,0,67,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
99,72,0,109.7,8.974542086203725,0,0,87,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0
100,20,1,96.55,7.566311014772463,0,0,50,1,0,1,1,0,1,1,0,0,0,1,0,0,1,0
101,24,1,24.1,6.36199308533525,0,1,49,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1
102,72,1,112.25,8.997518369733845,0,1,57,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0
103,71,0,105.55,8.921998081628523,0,1,32,1,1,1,0,1,0,1,1,0,0,1,0,0,1,0
104,19,1,106.6,7.614016098687466,1,0,81,1,0,1,0,1,1,1,1,0,0,1,0,0,1,0
105,64,1,102.45,8.788410459836772,0,1,34,1,0,0,1,1,1,1,1,0,1,0,0,0,1,0
106,2,1,46.0,4.532599493153256,1,1,42,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
107,1,0,25.25,3.2676659890376327,0,0,49,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
108,61,0,19.75,7.094857058949081,0,1,85,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
109,23,0,86.8,7.5996016138090345,0,1,34,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0
110,66,1,56.6,8.225931386025737,0,1,89,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0
111,71,0,24.75,7.4720742751881275,0,0,41,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1
112,12,1,19.35,5.451896454476337,0,0,51,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
113,24,1,50.6,7.102828519701255,0,1,86,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0
114,31,1,81.15,7.830683931036475,0,0,47,1,0,1,0,1,1,1,1,0,0,0,1,1,0,0
115,1,0,55.2,4.028916756899646,1,0,44,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0
116,1,1,84.6,4.449685283147696,1,1,31,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0
117,29,0,25.15,6.59352387129682,0,0,26,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1
118,2,1,54.4,4.69866052907543,1,1,36,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0
119,10,1,29.6,5.6937321388027,0,0,80,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
120,18,1,73.15,7.183643071551207,0,1,49,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0
121,16,0,19.75,5.75890177387728,0,1,85,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
122,65,0,65.0,8.349011198176003,0,0,41,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0
123,13,1,54.8,6.570042272924791,0,0,22,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0
124,4,0,75.35,5.711750644305378,0,1,47,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0
125,42,1,99.0,8.33302993974291,0,1,40,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0
126,2,0,70.4,4.954417614098027,1,0,47,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
127,1,0,40.2,3.7184382563554808,1,1,27,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
128,32,0,83.7,7.893348167842886,0,1,32,1,1,0,1,1,1,1,1,0,1,0,0,1,0,0
129,10,1,19.85,5.295814236329918,0,1,79,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
130,61,0,115.1,8.856817597583968,0,0,81,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0
131,29,1,45.0,7.174724309836376,0,0,71,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0
132,3,1,65.0,5.278114659230517,1,1,50,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0
133,13,1,106.9,7.237562496484565,1,1,61,1,1,0,1,1,0,1,1,0,0,1,0,0,1,0
134,31,1,49.85,7.3436525942105035,0,0,85,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0
135,45,0,113.3,8.536897774690573,0,0,76,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0
136,19,1,105.0,7.59890045687141,0,0,20,1,0,1,1,0,1,1,1,0,0,0,1,0,1,0
137,57,1,59.75,8.133514036629931,0,1,55,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0
138,1,0,24.8,3.250374491927572,1,1,22,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
139,20,0,65.0,7.170888478512505,0,1,24,1,1,0,1,0,1,1,1,0,0,1,0,0,1,0
140,5,1,85.4,6.059123195581797,1,1,90,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0
141,5,0,50.55,5.536349530355997,0,0,39,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
142,6,0,55.15,5.804833718725929,0,0,28,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0
143,10,0,51.2,6.240275845170769,0,0,71,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
144,1,0,25.4,3.2733640101522705,0,0,48,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1
145,68,0,54.45,8.217060598573893,0,0,82,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0
146,18,0,95.15,7.446410054666804,1,1,47,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0
147,22,1,76.0,7.422373700986824,0,0,50,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0
148,35,0,61.2,7.669961995473577,0,1,59,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0
149,23,0,86.8,7.5996016138090345,0,1,51,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0
150,12,0,19.7,5.469746482175568,0,0,50,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
151,1,0,20.25,3.056356895370426,0,1,51,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
152,71,0,76.05,8.59425607921767,0,0,73,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0
153,35,1,100.8,8.16876982367527,0,1,37,1,1,0,0,1,0,1,1,0,0,1,0,0,1,0
154,1,1,73.6,4.312140507209715,1,0,36,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0
155,23,1,64.9,7.309011542316247,0,1,51,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0
156,38,1,81.85,8.042795924263798,0,1,65,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0
157,52,0,24.8,7.16286250550174,0,1,86,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1
158,32,1,74.9,7.782306929273553,1,1,71,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0
159,29,0,75.55,7.692546837588771,0,1,87,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0
160,48,1,78.75,8.237743803890933,0,1,38,1,1,1,0,1,0,1,1,0,1,0,0,1,0,0
161,5,1,80.6,6.0014148779611505,1,1,53,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
162,71,1,19.9,7.254107122597794,0,1,62,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
163,35,1,91.5,8.071999241079077,0,1,53,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0
164,54,0,82.45,8.401400673364574,1,0,41,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0
165,72,1,60.0,8.371242135931933,0,0,78,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0
166,9,0,48.6,6.083131735633806,0,0,63,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0
167,69,1,60.05,8.329525368777363,0,1,39,0,0,1,1,0,1,1,1,1,0,0,0,1,0,0
168,11,1,82.9,6.816626345571035,0,0,87,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0
169,28,1,35.9,6.913936138057218,0,0,38,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
170,8,1,19.2,5.040841136153322,0,0,55,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
171,46,1,94.9,8.381694149954074,0,1,79,1,1,0,1,1,0,1,0,0,1,0,0,0,1,0
172,7,1,73.85,6.249878712504111,1,0,22,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0
173,68,1,88.15,8.698714428039423,0,0,66,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0
174,63,1,103.4,8.781893187476093,1,1,63,1,1,0,1,1,0,1,1,0,0,1,0,0,1,0
175,71,0,65.0,8.437283808187935,0,0,67,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0
176,66,1,67.45,8.401265932740072,0,0,89,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0
177,23,1,44.95,6.942011767660228,0,0,27,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0
178,64,0,97.0,8.733755131364893,0,0,27,1,0,1,1,1,0,0,1,1,0,0,0,0,1,0
179,21,1,41.9,6.78094411211575,1,0,51,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
180,42,0,97.1,8.313656169740947,0,1,54,1,1,1,0,0,0,1,1,0,0,1,0,0,1,0
181,41,1,98.8,8.306916505808852,0,0,60,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0
182,58,0,50.3,7.978790799880012,0,1,26,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
183,47,1,20.55,6.874043364496601,0,0,24,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
184,1,0,19.15,3.0032042883926917,0,0,35,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
185,72,1,112.6,9.000631174263225,0,1,30,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0
186,24,0,65.0,7.353081920515432,0,1,84,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0
187,37,1,96.1,8.176588427655,0,1,87,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0
188,1,0,25.35,3.2714682749873716,0,1,23,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
189,17,0,86.75,7.296921614120799,0,1,51,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0
190,1,0,50.65,3.9444901955656477,1,1,70,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0
191,72,1,64.8,8.448186034112958,0,1,41,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0
192,44,1,90.4,8.288685277602877,0,1,52,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0
193,1,0,44.0,3.8066624897703196,0,1,29,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
194,27,1,95.6,7.856397027740618,0,0,74,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0
195,27,1,84.8,7.736569070963616,0,1,30,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0
196,42,1,95.05,8.292323150576326,0,0,60,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0
197,33,1,109.9,8.196354117628575,0,1,85,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0
198,33,1,54.6,7.4970962908164935,0,1,21,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0
199,69,1,99.45,8.83390722832578,1,1,59,1,1,0,0,1,0,1,1,0,1,0,0,0,1,0
200,68,0,55.9,8.243335125557527,0,0,29,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0
201,32,1,93.95,8.00883119708822,0,1,24,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0
202,1,1,19.6,3.0252910757955354,1,1,55,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
203,3,1,81.35,5.501462271355557,1,1,43,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0
204,46,1,24.45,7.0261603433607585,0,0,81,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1
205,51,1,87.35,8.401973118562967,0,1,83,1,1,0,1,1,1,0,0,0,0,1,0,0,1,0
206,48,1,70.65,8.129233957437739,0,0,76,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
207,16,0,73.25,7.067319848653476,0,0,83,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
208,44,0,25.7,7.0315645647084235,0,1,79,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1
209,10,0,40.7,6.0112671744041615,0,0,90,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0
210,55,0,51.65,7.9521753385668195,0,0,27,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0
211,52,1,105.1,8.606338955646649,0,1,54,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0
212,10,0,65.0,6.478509642208569,0,0,68,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0
213,18,1,75.6,7.216562633048866,0,1,77,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0
214,68,0,58.25,8.284504227258497,0,0,74,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0
215,61,1,19.4,7.076991596227436,1,0,50,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
216,36,0,20.85,6.622204267539311,0,1,84,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
217,72,1,65.0,8.45126704130007,0,1,36,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0
218,35,1,89.85,8.053807614472078,0,1,42,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0
219,16,1,112.95,7.500087154303266,0,0,23,1,1,1,0,1,1,1,1,0,0,1,0,0,1,0
220,54,1,114.65,8.731029565009957,0,0,77,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0
221,18,0,64.8,7.06253433276969,0,0,67,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0
222,60,1,105.9,8.756997183623554,1,0,39,1,1,0,1,1,0,1,1,0,0,1,0,0,1,0
223,1,0,65.0,4.189654742026425,1,0,85,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
224,72,0,105.5,8.935508711503221,0,1,56,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0
225,64,0,24.7,7.366318718085317,0,0,85,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1
226,28,1,81.05,7.727711306405778,1,0,36,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
227,61,0,24.4,7.306128633276545,0,0,45,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1
228,24,1,104.15,7.8242859820609,0,0,83,1,1,0,1,1,0,1,1,0,0,1,0,0,1,0
229,28,0,65.0,7.507141079727608,0,1,74,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0
230,1,1,65.0,4.189654742026425,0,1,26,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0
231,6,0,19.65,4.778282803696736,0,1,87,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
232,24,1,69.45,7.419260671652885,0,0,52,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0
233,4,0,101.15,6.005367452276974,1,1,59,1,1,0,0,1,0,1,1,0,0,1,0,0,1,0
234,72,1,89.7,8.773291713206136,0,1,61,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0
235,13,0,55.95,6.590781701894957,1,0,37,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0
236,1,1,55.0,4.02535169073515,1,1,35,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0
237,24,0,53.6,7.160379959618515,0,1,43,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0
238,1,1,74.7,4.3267781604434035,1,0,72,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
239,24,1,80.25,7.563719668414366,1,1,87,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0
240,35,1,76.05,7.8871147023232755,0,1,36,1,0,0,1,0,1,1,1,0,0,1,0,1,0,0
241,7,1,75.7,6.274573679589626,0,0,88,1,0,1,1,1,1,1,0,0,0,1,0,1,0,0
242,5,1,96.1,6.17690623123818,1,1,26,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0
243,48,1,45.3,7.68496783465975,1,0,39,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0
244,8,1,83.55,6.506381788777226,1,0,73,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0
245,72,1,84.5,8.713582005421628,0,1,44,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0
246,63,1,104.8,8.79533994688468,0,1,39,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0
247,61,0,64.05,8.270793807348996,0,1,20,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0
248,22,1,43.75,6.870572487854421,1,1,28,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0
249,28,0,60.9,7.442023954474594,0,1,55,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0
250,70,0,19.8,7.234898420314831,0,0,88,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
251,5,0,28.45,4.964591355594849,1,0,66,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
