tenure,contract,paperlessBilling,monthlyCharges,totalCharges,churn,gender,age,phoneService,multipleLines,onlineSecurity,onlineBackup,deviceProtection,techSupport,streamingTV,streamingMovies,internetService_Fiber optic,internetService_No,paymentMethod_Credit card (automatic),paymentMethod_Electronic check,paymentMethod_Mailed check
0.25,0.0,1,0.4621890547263682,0.12672308702175544,1,0,0.12857142857142856,1,0,0,0,0,0,1,1,0,0,0,0,1
0.0,0.0,1,0.46517412935323377,0.013034508627156787,0,1,0.8714285714285713,1,0,0,0,1,0,1,1,1,0,1,0,0
0.0,0.0,0,0.019402985074626844,0.00016410352588146996,0,1,0.6428571428571428,1,0,0,0,0,0,0,0,0,1,0,0,0
0.0,0.0,1,0.5119402985074627,0.038646380345086266,1,1,0.4,1,0,0,0,0,0,0,0,1,0,0,1,0
0.75,0.0,1,0.5626865671641791,0.4011159039759939,0,0,0.4,1,0,0,0,1,0,0,0,1,0,1,0,0
0.0,0.0,1,0.7920398009950248,0.12396263128282067,1,0,0.09999999999999998,1,1,0,0,1,0,1,1,1,0,0,0,0
1.0,1.0,1,0.5069651741293533,0.5655945236309077,0,0,0.8857142857142858,1,1,1,1,0,0,1,0,0,0,1,0,0
0.25,0.5,0,0.02487562189054726,0.03914455176294073,0,0,0.5571428571428572,1,0,0,0,0,0,0,0,0,1,0,0,1
0.75,0.0,1,0.6592039800995024,0.4831325018754688,0,0,0.4,1,1,0,0,0,0,0,1,1,0,0,1,0
0.0,0.0,0,0.30845771144278605,0.009342179294823704,0,1,0.12857142857142856,1,0,0,1,0,0,0,0,0,0,0,0,1
0.0,0.0,1,0.6208955223880598,0.01670339459864966,1,0,0.9,1,0,0,0,0,0,1,0,1,0,0,1,0
1.0,1.0,1,0.4567164179104478,0.516638925356339,0,0,0.4285714285714286,1,1,1,0,1,1,0,0,0,0,1,0,0
0.5,0.0,1,0.7164179104477612,0.452685436984246,0,0,0.41428571428571426,1,1,0,1,0,0,1,0,1,0,0,1,0
0.25,0.0,1,0.5099502487562189,0.20146052138034506,0,0,0.14285714285714285,1,1,1,0,0,1,1,0,0,0,1,0,0
0.0,0.0,1,0.6208955223880598,0.07342460615153788,1,0,0.7857142857142857,1,1,0,1,0,0,0,0,1,0,1,0,0
1.0,0.5,1,0.56318407960199,0.5242169917479369,0,0,0.8428571428571429,1,0,1,1,1,1,0,1,0,0,1,0,0
1.0,0.5,1,0.8099502487562189,0.7336775600150037,0,0,0.4571428571428572,1,1,1,0,0,0,1,1,1,0,1,0,0
1.0,0.5,1,0.8975124378109453,0.8367990435108776,0,1,0.2571428571428571,1,1,0,1,1,1,1,1,1,0,0,1,0
0.5,1.0,0,0.06666666666666665,0.09723133908477118,0,0,0.08571428571428574,1,1,0,0,0,0,0,0,0,1,1,0,0
1.0,1.0,1,0.8880597014925372,0.9050543885971492,0,0,0.7714285714285715,1,1,0,0,1,1,1,1,1,0,1,0,0
1.0,0.0,1,0.7129353233830846,0.6300637659414853,0,1,0.5,1,1,0,1,0,0,1,0,1,0,0,0,0
1.0,1.0,0,0.2373134328358209,0.3531039009752438,0,1,0.12857142857142856,0,0,1,1,1,0,0,0,0,0,0,0,0
0.0,0.0,1,0.46517412935323377,0.020653600900225052,0,0,0.01428571428571429,1,0,0,1,0,1,1,1,0,0,0,1,0
0.75,0.5,1,0.6034825870646766,0.4324713990997749,0,1,0.9999999999999999,1,1,0,1,0,0,0,0,1,0,0,1,0
1.0,1.0,1,0.05970149253731341,0.1740317891972993,0,1,0.4,1,1,0,0,0,0,0,0,0,1,0,0,0
0.0,0.0,0,0.3621890547263681,0.04904351087771942,0,0,0.02857142857142858,1,0,1,1,0,0,0,0,0,0,0,0,1
0.75,0.5,1,0.07611940298507458,0.1344125093773443,0,0,0.12857142857142856,1,1,0,0,0,0,0,0,0,1,1,0,0
0.0,0.0,0,0.32139303482587056,0.06297472805701425,0,0,0.4571428571428572,0,0,1,0,0,0,1,1,0,0,0,1,0
0.5,0.5,1,0.43681592039800987,0.2527721774193548,0,0,0.22857142857142854,1,0,1,0,0,0,1,0,0,0,0,0,0
0.75,1.0,0,0.023880597014925342,0.11398162040510125,0,0,0.04285714285714287,1,0,0,0,0,0,0,0,0,1,0,0,0
0.25,0.0,0,0.154228855721393,0.11252227119279819,0,1,0.15714285714285714,0,0,0,0,0,0,1,0,0,0,0,0,1
0.5,0.0,0,0.6348258706467661,0.28632548762190546,0,1,0.6,1,0,0,1,1,0,0,0,1,0,0,0,0
1.0,1.0,1,0.654228855721393,0.6476462865716428,0,1,0.9857142857142857,1,1,1,0,1,1,1,1,0,0,0,0,1
0.0,0.0,1,0.6039800995024875,0.10884752438109527,1,0,0.08571428571428574,1,1,1,0,0,0,0,0,1,0,0,1,0
1.0,0.5,1,0.4835820895522387,0.554148302700675,0,1,0.09999999999999998,1,1,1,1,0,1,0,0,0,0,1,0,0
0.75,1.0,0,0.027363184079601977,0.12579707426856712,0,1,0.22857142857142854,1,0,0,0,0,0,0,0,0,1,0,0,0
0.25,0.0,1,0.7985074626865671,0.2864427044261065,1,0,0.3285714285714285,1,0,0,1,1,0,1,1,1,0,0,1,0
1.0,0.5,0,0.2716417910447761,0.35018520255063756,0,0,0.08571428571428574,0,0,0,1,1,0,1,0,0,0,0,0,0
1.0,1.0,1,0.9129353233830845,0.8745780195048761,1,1,0.6428571428571428,1,1,0,1,1,1,1,1,1,0,0,0,0
0.0,0.0,0,0.06019900497512437,0.01203816579144786,0,1,0.8571428571428571,0,0,0,0,0,0,0,0,0,0,0,0,1
0.5,0.5,0,0.11840796019900496,0.11088709677419353,0,0,0.6,0,0,1,0,0,0,0,0,0,0,0,0,1
0.5,0.5,0,0.7572139303482587,0.47335075956489114,0,1,0.6571428571428571,1,1,0,0,0,0,1,1,1,0,0,0,1
1.0,1.0,0,0.011442786069651711,0.16152475618904724,0,1,0.7428571428571428,1,0,0,0,0,0,0,0,0,1,1,0,0
0.75,0.0,1,0.7810945273631841,0.6215362434358589,1,1,0.44285714285714284,1,1,1,1,0,0,1,0,1,0,0,1,0
0.5,0.0,1,0.7303482587064677,0.45974188859714926,0,0,0.2571428571428571,1,0,0,1,1,0,1,0,1,0,0,1,0
0.5,0.0,1,0.5796019900497512,0.32957848837209297,1,0,0.4285714285714286,1,1,0,0,0,0,0,0,1,0,0,1,0
1.0,1.0,1,0.36169154228855727,0.4073987246811702,0,0,0.09999999999999998,0,0,0,1,0,1,1,1,0,0,0,1,0
0.5,1.0,0,0.127363184079602,0.12882126781695422,0,0,0.6285714285714286,0,0,1,0,0,0,0,0,0,0,0,0,0
0.5,1.0,0,0.023880597014925342,0.09703793135783945,0,0,0.8285714285714286,1,0,0,0,0,0,0,0,0,1,0,0,1
0.75,0.5,1,0.8114427860696517,0.6528975993998499,0,0,0.4714285714285714,1,1,0,0,1,0,1,1,1,0,1,0,0
0.0,0.0,0,0.024378109452736302,0.012354651162790694,0,0,0.8571428571428571,1,0,0,0,0,0,0,0,0,1,0,0,1
0.0,0.0,1,0.5587064676616916,0.02395911477869467,1,1,0.7714285714285715,1,1,0,0,0,0,0,0,1,0,0,1,0
0.0,0.0,0,0.025870646766169153,0.007572205551387845,0,0,0.9857142857142857,1,0,0,0,0,0,0,0,0,1,0,0,1
0.5,1.0,1,0.7034825870646766,0.34186867029257306,0,1,0.2142857142857143,1,0,1,0,0,1,1,0,1,0,0,1,0
0.25,0.0,1,0.46517412935323377,0.20351181545386343,1,0,0.9714285714285714,1,1,0,0,1,0,0,0,1,0,0,1,0
0.0,0.0,0,0.014925373134328346,0.00011135596399099775,0,1,0.3142857142857143,1,0,0,0,0,0,0,0,0,1,0,0,1
0.0,0.0,1,0.6736318407960199,0.12876852025506377,0,0,0.7142857142857143,1,1,0,0,0,0,0,1,1,0,0,1,0
0.25,0.0,1,0.4014925373134328,0.16951894223555886,1,0,0.5571428571428572,0,0,1,1,1,0,1,1,0,0,1,0,0
1.0,1.0,0,0.32139303482587056,0.39479205738934725,0,1,0.24285714285714288,1,0,0,0,0,1,0,0,0,0,0,0,0
1.0,1.0,0,0.019402985074626844,0.149334208552138,0,0,0.5,1,0,0,0,0,0,0,0,0,1,0,0,1
1.0,1.0,1,0.8238805970149253,0.720326566016504,0,0,0.8857142857142858,1,1,0,1,0,0,1,1,1,0,0,0,0
1.0,0.5,1,0.6572139303482587,0.6302044261065265,0,1,0.07142857142857145,1,1,1,1,0,0,0,0,1,0,1,0,0
1.0,1.0,0,0.056716417910447736,0.19711763878469615,0,1,0.4714285714285714,1,1,0,0,0,0,0,0,0,1,0,0,0
0.5,0.5,0,0.46517412935323377,0.22636909227306823,0,1,0.4714285714285714,1,0,0,1,1,0,1,0,0,0,1,0,0
1.0,0.5,1,0.8945273631840797,0.8851861402850711,0,0,0.9428571428571427,1,1,1,1,1,0,1,1,1,0,1,0,0
0.0,0.0,0,0.014427860696517386,0.011651350337584392,0,0,0.12857142857142856,1,0,0,0,0,0,0,0,0,1,0,0,1
0.0,0.0,1,0.6233830845771144,0.1305560765191298,0,0,0.2571428571428571,1,0,0,0,0,0,0,1,1,0,0,0,0
0.25,0.0,1,0.6557213930348259,0.2147997936984246,0,0,0.9999999999999999,1,1,0,0,0,0,1,0,1,0,0,0,0
0.25,0.5,0,0.018905472636815884,0.04975853338334583,0,1,0.41428571428571426,1,0,0,0,0,0,0,0,0,1,0,0,1
0.25,0.0,0,0.6383084577114428,0.19096961740435106,1,0,0.02857142857142858,1,1,1,0,0,0,0,0,1,0,0,1,0
1.0,1.0,1,0.7044776119402985,0.749343585896474,0,1,0.7857142857142857,1,1,1,1,1,1,1,1,0,0,0,0,0
0.25,0.0,0,0.021393034825870627,0.03605588897224306,0,0,0.05714285714285716,1,0,0,0,0,0,0,0,0,1,0,1,0
0.5,0.5,1,0.6567164179104478,0.422443501500375,0,1,0.6571428571428571,1,0,1,0,1,1,0,0,1,0,0,0,0
0.75,0.5,1,0.7621890547263681,0.5870510596399098,1,0,0.4,1,0,0,0,1,0,1,1,1,0,0,0,0
0.5,0.5,0,0.02288557213930348,0.07487809452363091,0,0,0.02857142857142858,1,0,0,0,0,0,0,0,0,1,0,0,0
0.0,0.0,1,0.8666666666666666,0.18302817891972992,0,0,0.41428571428571426,1,1,0,1,1,0,1,1,1,0,0,0,0
1.0,0.5,1,0.02288557213930348,0.1447334489872468,0,1,0.9428571428571427,1,0,0,0,0,0,0,0,0,1,1,0,0
0.5,0.5,0,0.5621890547263682,0.28694087584396094,0,1,0.37142857142857144,1,0,1,0,1,0,1,1,0,0,1,0,0
0.0,0.0,1,0.06517412935323383,0.0007033008252063013,1,0,0.6714285714285714,0,0,0,0,0,0,0,0,0,0,0,1,0
1.0,1.0,0,0.9099502487562189,0.9236215303825955,0,0,0.9571428571428572,1,1,1,1,1,0,1,1,1,0,1,0,0
0.25,0.0,1,0.7791044776119402,0.22414197299324828,0,0,0.4285714285714286,1,0,1,1,0,1,1,0,1,0,0,1,0
0.25,1.0,1,0.05820895522388059,0.06559452363090773,0,1,0.41428571428571426,1,1,0,0,0,0,0,0,0,1,0,0,0
1.0,1.0,1,0.9353233830845772,0.9451425356339084,0,1,0.5285714285714286,1,1,0,1,1,1,1,1,1,0,0,0,0
1.0,1.0,0,0.8686567164179103,0.8762249156039009,0,1,0.17142857142857143,1,1,1,0,1,0,1,1,1,0,0,1,0
0.25,0.0,1,0.8791044776119402,0.2352072393098274,1,0,0.8714285714285713,1,0,1,0,1,1,1,1,1,0,0,1,0
1.0,0.5,1,0.8378109452736319,0.7663634658664665,0,1,0.2,1,0,0,1,1,1,1,1,1,0,1,0,0
0.0,0.0,1,0.2761194029850746,0.008580270067516877,1,1,0.3142857142857143,1,0,0,0,0,0,0,0,0,0,1,0,0
0.0,0.0,0,0.06965174129353235,0.000756048387096774,0,0,0.41428571428571426,0,0,0,0,0,0,0,0,0,0,0,1,0
1.0,1.0,0,0.014925373134328346,0.13901326894223553,0,1,0.9285714285714285,1,0,0,0,0,0,0,0,0,1,0,0,1
0.25,0.0,0,0.682089552238806,0.23180795198799695,0,1,0.2,1,1,0,0,0,0,0,1,1,0,0,1,0
1.0,1.0,1,0.381592039800995,0.43567141785446356,0,1,0.9857142857142857,0,0,1,1,1,1,1,0,0,0,0,0,0
1.0,1.0,0,0.06467661691542287,0.2037755532633158,0,0,0.30000000000000004,1,1,0,0,0,0,0,0,0,1,0,0,0
0.0,0.5,1,0.010945273631840807,0.025014066016504122,0,0,0.44285714285714284,1,0,0,0,0,0,0,0,0,1,0,0,0
0.25,0.5,1,0.3218905472636816,0.1401444111027757,0,1,0.9428571428571427,0,0,1,0,0,0,1,1,0,0,0,0,1
0.5,0.5,1,0.6258706467661692,0.2926727775693923,0,0,0.3857142857142857,1,0,1,0,1,1,1,1,0,0,0,0,1
0.0,0.0,0,0.36766169154228856,0.004266691672918229,1,0,0.34285714285714286,1,0,0,0,0,0,1,0,0,0,0,0,1
0.0,0.0,1,0.6601990049751243,0.007712865716429105,1,1,0.15714285714285714,1,0,1,0,0,0,0,1,1,0,0,0,1
0.25,0.0,0,0.06865671641791044,0.08328840022505625,0,0,0.08571428571428574,1,1,0,0,0,0,0,0,0,1,0,1,0
0.0,0.0,1,0.3597014925373134,0.010549512378094521,1,1,0.22857142857142854,1,1,0,1,0,0,0,0,0,0,0,0,1
0.0,1.0,1,0.1129353233830846,0.03249249812453113,0,0,0.8571428571428571,0,0,0,0,0,1,0,0,0,0,0,0,1
0.25,0.0,1,0.546268656716418,0.1521356901725431,0,1,0.41428571428571426,1,1,0,0,0,0,0,0,1,0,0,1,0
0.25,1.0,0,0.014925373134328346,0.03483683420855214,0,1,0.9285714285714285,1,0,0,0,0,0,0,0,0,1,0,0,1
1.0,0.0,0,0.46517412935323377,0.49303732183045756,0,0,0.30000000000000004,1,0,1,1,1,0,0,1,1,0,0,1,0
0.0,0.0,1,0.363681592039801,0.08130157539384845,0,0,0.02857142857142858,1,0,0,1,1,0,0,0,0,0,0,1,0
0.0,0.0,0,0.5681592039800994,0.0331254688672168,0,1,0.3857142857142857,1,0,1,0,0,0,0,0,1,0,0,1,0
0.5,0.5,1,0.8034825870646766,0.4851837959489872,0,1,0.2857142857142857,1,1,1,1,1,0,0,1,1,0,0,1,0
0.0,0.0,0,0.518905472636816,0.014300450112528132,1,0,0.3857142857142857,1,0,0,0,0,0,0,0,1,0,0,1,0
0.0,0.0,0,0.218407960199005,0.0025084396099024756,1,1,0.09999999999999998,0,0,0,1,0,0,1,0,0,0,0,1,0
0.5,0.5,0,0.6512437810945274,0.31174981245311323,0,1,0.17142857142857143,1,1,0,1,1,1,1,1,0,0,1,0,0
0.0,0.0,1,0.015920398009950265,0.021063859714928728,0,1,0.8428571428571429,1,0,0,0,0,0,0,0,0,1,0,0,1
1.0,1.0,0,0.9636815920398009,0.8207872280570141,0,0,0.8714285714285713,1,1,1,1,1,1,1,1,1,0,1,0,0
0.25,0.0,1,0.26616915422885573,0.15076425356339082,0,0,0.7285714285714285,0,0,1,0,1,0,0,1,0,0,0,1,0
0.0,0.0,1,0.46517412935323377,0.020653600900225052,1,1,0.4285714285714286,0,0,0,0,1,0,0,1,0,0,0,1,0
0.0,0.0,1,0.882089552238806,0.1606925168792198,1,1,0.5857142857142857,1,1,0,1,1,0,1,1,1,0,0,1,0
0.5,1.0,1,0.3144278606965174,0.17893731245311328,0,0,0.9285714285714285,0,0,1,1,0,1,0,1,0,0,0,0,0
0.75,0.5,0,0.9457711442786069,0.595426200300075,0,0,0.7999999999999999,1,1,1,1,1,1,1,1,1,0,0,0,1
0.25,0.0,1,0.86318407960199,0.2316438484621155,0,0,0.0,1,0,1,1,0,1,1,1,1,0,0,0,1
0.75,1.0,1,0.4129353233830846,0.3970074549887471,0,1,0.5,1,0,1,1,0,1,0,0,0,0,0,1,0
0.0,0.0,0,0.06517412935323383,0.0007033008252063013,1,1,0.02857142857142858,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,0.0,0,0.46517412935323377,0.15017816954238558,0,1,0.05714285714285716,1,1,0,1,0,1,1,1,1,0,0,1,0
0.0,0.0,1,0.6681592039800995,0.04784789947486871,1,1,0.9999999999999999,1,1,0,1,0,1,0,0,1,0,0,1,0
0.0,0.0,0,0.32139303482587056,0.027422871342835706,0,0,0.27142857142857146,1,0,0,1,0,0,0,0,0,0,0,0,0
0.0,0.0,0,0.36716417910447763,0.036583364591147784,0,0,0.11428571428571427,1,0,1,1,0,0,0,0,0,0,0,0,1
0.0,0.0,0,0.3278606965174129,0.057811327831957984,0,0,0.7285714285714285,1,0,0,1,0,0,0,0,0,0,0,1,0
0.0,0.0,0,0.07114427860696515,0.0007736309077269314,0,0,0.4,1,1,0,0,0,0,0,0,0,1,0,0,1
1.0,0.0,0,0.36019900497512436,0.43180326331582897,0,0,0.8857142857142858,1,1,1,0,0,0,0,0,0,0,0,0,1
0.25,0.0,0,0.7651741293532338,0.198553544636159,1,1,0.3857142857142857,1,0,0,0,1,0,1,1,1,0,0,0,1
0.25,0.5,1,0.5746268656716418,0.19378282070517627,0,0,0.4285714285714286,1,1,0,0,0,0,0,0,1,0,1,0,0
0.5,0.5,0,0.42736318407960205,0.24887471867966987,0,1,0.5571428571428572,1,0,1,1,1,0,0,0,0,0,0,0,1
0.25,0.5,0,0.682089552238806,0.23180795198799695,0,1,0.44285714285714284,1,0,0,1,1,1,0,0,1,0,0,0,1
0.0,0.0,0,0.014427860696517386,0.02550637659414853,0,0,0.4285714285714286,1,0,0,0,0,0,0,0,0,1,0,0,1
0.0,0.0,0,0.019900497512437804,0.00016996436609152286,0,1,0.44285714285714284,1,0,0,0,0,0,0,0,0,1,0,0,1
1.0,1.0,0,0.5751243781094527,0.6307143192048011,0,0,0.7571428571428572,1,0,0,0,1,0,0,0,1,0,0,1,0
0.5,0.0,1,0.8213930348258706,0.41133720930232553,0,1,0.24285714285714288,1,1,0,0,1,0,1,1,1,0,0,1,0
0.0,0.0,1,0.5507462686567164,0.006423480870217553,1,0,0.22857142857142854,1,0,1,0,0,0,0,0,1,0,0,0,1
0.25,0.5,1,0.464179104477612,0.17276584771192796,0,1,0.44285714285714284,1,0,0,0,0,0,1,1,0,0,0,0,0
0.5,0.0,1,0.6328358208955223,0.3623757501875468,0,1,0.6428571428571428,1,1,0,1,0,0,0,0,1,0,0,0,1
0.75,1.0,0,0.06517412935323383,0.14895911477869467,0,1,0.9428571428571427,1,1,0,0,0,0,0,0,0,1,0,0,1
0.5,0.0,1,0.5636815920398011,0.2787415603900975,1,1,0.7285714285714285,1,1,0,0,0,0,0,0,1,0,0,1,0
0.25,1.0,0,0.5701492537313433,0.2546124812453113,0,1,0.9571428571428572,1,0,0,0,1,1,1,1,0,0,0,0,1
0.75,0.5,1,0.6019900497512437,0.44087584396099017,0,1,0.2571428571428571,1,1,1,0,1,0,1,1,0,0,1,0,0
0.0,0.0,1,0.6203980099502486,0.04503469617404351,1,1,0.4714285714285714,1,0,0,0,0,0,1,0,1,0,0,1,0
1.0,1.0,1,0.01641791044776117,0.16341194673668413,0,1,0.6,1,0,0,0,0,0,0,0,0,1,1,0,0
0.5,0.0,1,0.7288557213930348,0.3731831395348837,0,1,0.4714285714285714,1,1,0,0,0,1,1,0,1,0,1,0,0
0.75,0.5,0,0.6388059701492538,0.5196807014253563,1,0,0.30000000000000004,1,1,1,1,0,1,1,1,0,0,0,0,0
1.0,1.0,1,0.41542288557213924,0.5041729182295573,0,0,0.8285714285714286,0,0,0,1,1,1,1,1,0,0,0,1,0
0.0,0.5,0,0.30199004975124377,0.04906695423855964,0,0,0.6142857142857143,1,0,1,0,0,0,0,0,0,0,0,0,1
1.0,1.0,1,0.4159203980099502,0.48347829144786186,0,1,0.27142857142857146,0,0,1,1,0,1,1,1,0,0,0,0,0
0.0,0.0,1,0.6432835820895523,0.10468632783195798,0,0,0.9571428571428572,1,0,0,0,0,1,1,0,1,0,0,1,0
0.25,0.0,1,0.17562189054726368,0.11562265566391595,0,0,0.2571428571428571,0,0,0,0,0,0,1,0,0,0,0,1,0
0.0,0.5,1,0.009452736318407956,0.01580082520630157,0,0,0.5,1,0,0,0,0,0,0,0,0,1,0,0,1
0.75,0.5,1,0.7626865671641792,0.509494561140285,0,1,0.8428571428571429,1,1,0,1,1,0,1,0,1,0,1,0,0
0.0,0.0,1,0.553233830845771,0.05839155101275317,1,0,0.02857142857142858,1,1,0,0,0,0,0,0,1,0,0,1,0
1.0,1.0,1,0.6955223880597016,0.7004172918229558,0,0,0.6571428571428571,1,1,1,1,1,1,1,1,0,0,0,1,0
1.0,0.0,1,0.8472636815920399,0.7613700300075018,1,1,0.6142857142857143,1,1,0,1,1,0,1,1,1,0,0,1,0
1.0,1.0,0,0.46517412935323377,0.5387518754688672,0,0,0.6714285714285714,1,1,1,1,1,1,1,1,0,0,1,0,0
1.0,0.0,1,0.4895522388059702,0.5196103713428356,0,0,0.9857142857142857,1,1,1,1,1,0,0,0,0,0,0,0,0
0.25,0.0,1,0.2656716417910448,0.11898091710427607,0,0,0.09999999999999998,0,0,0,0,0,0,1,1,0,0,0,1,0
1.0,0.5,0,0.7835820895522387,0.7254782445611402,0,0,0.09999999999999998,1,0,1,1,1,0,0,1,1,0,0,0,0
0.25,0.0,1,0.23532338308457706,0.10093539009752436,1,0,0.44285714285714284,0,0,1,0,0,0,1,0,0,0,0,1,0
0.5,0.5,0,0.7845771144278606,0.47582989497374334,0,1,0.48571428571428565,1,1,1,0,0,0,1,1,1,0,0,1,0
0.5,1.0,1,0.8014925373134327,0.47261815453863454,0,0,0.5714285714285714,1,0,0,1,0,1,1,1,1,0,0,0,0
1.0,0.5,0,0.3189054726368159,0.3397646286571642,0,1,0.08571428571428574,1,0,0,0,1,0,0,0,0,0,1,0,0
0.75,1.0,1,0.02288557213930348,0.11101017441860464,0,0,0.05714285714285716,1,0,0,0,0,0,0,0,0,1,0,0,1
0.0,0.0,0,0.008955223880596996,4.102588147036727e-05,0,0,0.2142857142857143,1,0,0,0,0,0,0,0,0,1,0,0,1
1.0,1.0,1,0.9388059701492536,0.9480963990997748,0,1,0.14285714285714285,1,1,1,1,1,1,1,1,1,0,1,0,0
0.25,1.0,0,0.46517412935323377,0.18065453863465863,0,1,0.9142857142857143,0,0,1,0,0,1,0,0,0,0,0,0,1
0.5,0.0,1,0.7746268656716417,0.4145841147786946,0,1,0.9571428571428572,1,0,0,1,0,0,1,1,1,0,1,0,0
0.0,0.0,0,0.07064676616915422,0.0007677700675168793,0,1,0.04285714285714287,0,0,0,0,0,0,0,0,0,0,0,0,1
0.25,0.5,0,0.681592039800995,0.1706618060765191,0,1,0.44285714285714284,1,1,0,0,1,1,0,0,1,0,0,1,0
0.0,0.0,0,0.32238805970149254,0.00373335521380345,1,1,0.7142857142857143,1,0,0,1,0,0,0,0,0,0,0,0,1
1.0,1.0,1,0.46318407960199004,0.5446830457614402,0,1,0.30000000000000004,0,0,1,1,1,1,1,1,0,0,0,0,0
0.75,0.0,1,0.7179104477611941,0.46403788447111777,0,1,0.4571428571428572,1,1,0,0,1,0,0,1,1,0,0,0,1
0.0,0.0,0,0.2562189054726368,0.0029538634658664658,0,1,0.12857142857142856,1,0,0,0,0,0,0,0,0,0,0,1,0
0.25,0.0,1,0.7696517412935323,0.3003563390847711,0,0,0.7714285714285715,1,1,0,0,0,0,1,1,1,0,0,0,0
0.25,0.0,1,0.6621890547263681,0.2661759189797449,0,1,0.14285714285714285,1,1,0,1,1,1,1,1,0,0,0,0,0
0.5,0.0,1,0.7641791044776118,0.46573752813203295,0,0,0.5714285714285714,1,1,0,0,0,0,1,1,1,0,0,1,0
0.5,0.0,1,0.9119402985074626,0.4229065078769692,0,1,0.9285714285714285,1,1,1,0,1,1,1,1,1,0,0,0,0
0.5,0.0,1,0.36169154228855727,0.20899756189047258,0,1,0.01428571428571429,0,0,0,0,1,1,1,1,0,0,0,1,0
1.0,0.0,1,0.8079601990049752,0.8021438953488371,1,1,0.5571428571428572,1,1,0,0,1,0,1,1,1,0,1,0,0
1.0,0.5,0,0.3746268656716417,0.44336084021005245,0,0,0.12857142857142856,1,0,1,0,0,1,0,0,0,0,0,0,0
0.5,0.0,1,0.7532338308457711,0.35019692423105775,0,1,0.05714285714285716,1,0,0,1,0,0,1,1,1,0,0,0,1
0.0,0.0,1,0.013432835820895522,9.377344336084035e-05,1,1,0.5,1,0,0,0,0,0,0,0,0,1,0,0,1
0.0,0.0,1,0.6278606965174128,0.026403085146286566,1,1,0.3285714285714285,1,1,0,1,0,0,0,0,1,0,0,1,0
0.75,0.5,1,0.061691542288557194,0.12963006376594147,0,0,0.8714285714285713,1,1,0,0,0,0,0,0,0,1,0,0,0
0.75,0.0,1,0.6875621890547263,0.5199796042760689,0,1,0.9,1,1,0,1,1,1,0,0,1,0,0,1,0
