,calculated_host_listings_count,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,days_past_last_review,bathrooms,bedrooms,beds,price,guests_included,extra_people,minimum_nights,maximum_nights,latitude,longitude,accommodates,host_response_rate,host_acceptance_rate,host_listings_count,host_total_listings_count,Seniority_days,instant_bookable_0,instant_bookable_1,cancellation_policy_flexible,cancellation_policy_moderate,cancellation_policy_strict,require_guest_profile_picture_0,require_guest_profile_picture_1,require_guest_phone_verification_0,require_guest_phone_verification_1,bed_type_Airbed,bed_type_Couch,bed_type_Futon,bed_type_Pull-out Sofa,bed_type_Real Bed,has_availability_1,property_type_Apartment,property_type_Condominium,property_type_House,property_type_Other,property_type_Townhouse,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,host_is_superhost_0.0,host_is_superhost_1.0,host_has_profile_pic_0,host_has_profile_pic_1,host_has_profile_pic_1.1,host_identity_verified_0,host_identity_verified_1
21,5.0,109.0,97.0,10.0,10.0,10.0,10.0,617.0,1.0,0.0,1.0,90.0,1.0,0.0,2.0,14.0,47.64105215,-122.3750817,2.0,100.0,100.0,5.0,5.0,1249.0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1
22,1.0,52.0,92.0,9.0,9.0,10.0,10.0,248.0,1.0,1.0,1.0,80.0,2.0,15.0,1.0,6.0,47.63140095,-122.3676901,2.0,100.0,100.0,1.0,1.0,321.0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0
23,5.0,191.0,97.0,10.0,10.0,10.0,10.0,1330.0,1.0,1.0,2.0,60.0,2.0,0.0,2.0,7.0,47.64152493,-122.3761504,2.0,100.0,100.0,5.0,5.0,1249.0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1
24,1.0,0.0,94.54,9.64,9.56,9.79,9.81,0.0,1.0,2.0,2.0,175.0,4.0,50.0,1.0,15.0,47.6353107,-122.3635056,4.0,67.0,100.0,1.0,1.0,165.0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
25,1.0,45.0,97.0,9.0,9.0,10.0,10.0,830.0,1.0,2.0,2.0,145.0,4.0,30.0,2.0,14.0,47.67296864,-122.3973382,4.0,100.0,100.0,1.0,1.0,970.0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
26,1.0,151.0,97.0,10.0,10.0,10.0,10.0,1159.0,1.0,1.0,2.0,95.0,2.0,35.0,2.0,90.0,47.6716905,-122.3852391,4.0,100.0,100.0,1.0,1.0,1293.0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1
27,3.0,16.0,94.0,10.0,10.0,10.0,10.0,105.0,1.0,1.0,1.0,65.0,1.0,0.0,1.0,26.0,47.67088677,-122.3930293,2.0,100.0,100.0,3.0,3.0,811.0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1
28,1.0,0.0,94.54,9.64,9.56,9.79,9.81,0.0,1.0,2.0,3.0,99.0,4.0,0.0,5.0,15.0,47.67504404,-122.3827149,6.0,100.0,79.73,1.0,1.0,1302.0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1
29,1.0,0.0,94.54,9.64,9.56,9.79,9.81,0.0,4.0,3.0,3.0,218.0,4.0,15.0,14.0,60.0,47.67553327,-122.376324,7.0,100.0,100.0,2.0,2.0,1463.0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
30,1.0,88.0,95.0,10.0,10.0,10.0,10.0,462.0,1.5,2.0,2.0,80.0,1.0,0.0,1.0,7.0,47.67570811,-122.3875594,5.0,100.0,100.0,1.0,1.0,613.0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
31,1.0,10.0,98.0,10.0,10.0,10.0,10.0,290.0,2.0,2.0,2.0,225.0,1.0,0.0,2.0,10.0,47.67097576,-122.3878253,4.0,100.0,100.0,1.0,1.0,2053.0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1
32,2.0,244.0,97.0,10.0,9.0,10.0,10.0,2089.0,1.0,1.0,1.0,89.0,2.0,0.0,2.0,14.0,47.67333939,-122.3951203,2.0,100.0,100.0,2.0,2.0,2038.0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1
33,1.0,40.0,98.0,10.0,10.0,10.0,10.0,352.0,1.0,1.0,2.0,134.0,1.0,0.0,3.0,45.0,47.67175997,-122.3900201,4.0,100.0,100.0,4.0,4.0,364.0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1
34,1.0,14.0,97.0,10.0,10.0,10.0,10.0,418.0,1.0,1.0,1.0,145.0,2.0,25.0,2.0,35.0,47.67228446,-122.3823135,2.0,100.0,100.0,1.0,1.0,814.0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1
35,1.0,1.0,100.0,8.0,10.0,10.0,10.0,0.0,1.5,3.0,4.0,197.0,1.0,0.0,4.0,29.0,47.67575024,-122.3765799,6.0,50.0,79.73,1.0,1.0,467.0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
36,1.0,25.0,99.0,10.0,10.0,10.0,10.0,205.0,1.0,1.0,1.0,120.0,2.0,20.0,2.0,28.0,47.67260212,-122.3884415,2.0,100.0,100.0,1.0,1.0,400.0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1
37,1.0,35.0,95.0,10.0,9.0,10.0,10.0,242.0,1.0,1.0,1.0,200.0,4.0,100.0,2.0,90.0,47.66676678,-122.3812427,4.0,100.0,100.0,1.0,1.0,758.0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1
38,3.0,16.0,98.0,10.0,10.0,10.0,10.0,285.0,1.0,1.0,1.0,60.0,1.0,0.0,1.0,26.0,47.66896088,-122.3938769,2.0,100.0,100.0,3.0,3.0,811.0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1
39,1.0,0.0,94.54,9.64,9.56,9.79,9.81,0.0,1.0,1.0,1.0,149.0,1.0,0.0,1.0,7.0,47.67210896,-122.3835885,4.0,50.0,100.0,1.0,1.0,614.0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1
40,2.0,44.0,97.0,10.0,10.0,10.0,10.0,170.0,1.0,1.0,1.0,79.0,1.0,0.0,2.0,14.0,47.6736071,-122.3938029,2.0,100.0,100.0,2.0,2.0,2038.0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1
41,1.0,56.0,96.0,10.0,10.0,10.0,10.0,469.0,1.0,1.0,1.0,80.0,1.0,0.0,1.0,31.0,47.66939869,-122.389254,2.0,100.0,100.0,1.0,1.0,654.0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1
42,1.0,39.0,98.0,10.0,10.0,10.0,10.0,518.0,1.0,1.0,1.0,80.0,2.0,20.0,2.0,100.0,47.67349962,-122.3869636,2.0,100.0,100.0,1.0,1.0,512.0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0
43,1.0,79.0,96.0,10.0,10.0,10.0,10.0,489.0,1.0,0.0,1.0,75.0,2.0,20.0,2.0,14.0,47.66746398,-122.3782553,2.0,90.0,100.0,1.0,1.0,1093.0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1
44,2.0,50.0,96.0,10.0,10.0,10.0,10.0,260.0,1.0,1.0,1.0,57.0,0.0,0.0,2.0,28.0,47.67181197,-122.3889813,2.0,100.0,100.0,2.0,2.0,595.0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1
45,1.0,20.0,100.0,10.0,10.0,10.0,10.0,748.0,1.0,1.0,1.0,55.0,1.0,0.0,2.0,10.0,47.6637344,-122.3620801,1.0,63.0,100.0,1.0,1.0,2092.0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1
46,1.0,57.0,92.0,10.0,9.0,10.0,10.0,131.0,1.0,1.0,1.0,96.0,2.0,20.0,2.0,14.0,47.6675968,-122.3647017,2.0,100.0,100.0,1.0,1.0,1435.0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0
47,2.0,17.0,99.0,10.0,10.0,10.0,10.0,587.0,1.0,1.0,1.0,115.0,2.0,100.0,3.0,365.0,47.67235398,-122.3661749,2.0,100.0,100.0,5.0,5.0,1253.0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
48,1.0,3.0,93.0,9.0,7.0,9.0,10.0,178.0,3.0,3.0,3.0,295.0,5.0,50.0,2.0,7.0,47.67433308,-122.375678,6.0,81.89,79.73,1.0,1.0,727.0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
49,1.0,12.0,71.0,8.0,6.0,9.0,9.0,531.0,1.0,2.0,2.0,110.0,1.0,0.0,2.0,14.0,47.66899339,-122.3628603,4.0,33.0,100.0,2.0,2.0,851.0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
50,1.0,0.0,94.54,9.64,9.56,9.79,9.81,0.0,1.0,1.0,1.0,79.0,1.0,0.0,1.0,7.0,47.66835401,-122.3611388,2.0,100.0,100.0,1.0,1.0,235.0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0
51,1.0,0.0,94.54,9.64,9.56,9.79,9.81,0.0,2.0,3.0,3.0,200.0,1.0,0.0,4.0,7.0,47.66388206,-122.3621749,4.0,100.0,100.0,2.0,2.0,203.0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
52,1.0,14.0,97.0,10.0,10.0,10.0,10.0,266.0,1.0,1.0,1.0,52.0,1.0,0.0,30.0,90.0,47.67261671,-122.3743927,1.0,100.0,100.0,2.0,2.0,622.0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1
53,1.0,125.0,97.0,10.0,10.0,10.0,10.0,1712.0,1.0,1.0,1.0,89.0,2.0,0.0,2.0,14.0,47.67171434,-122.3658876,2.0,100.0,100.0,1.0,1.0,2120.0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0
54,8.0,121.0,91.0,9.0,9.0,10.0,10.0,690.0,2.0,3.0,3.0,225.0,8.0,40.0,1.0,90.0,47.66686785,-122.3640313,10.0,97.0,100.0,9.0,9.0,1094.0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
55,1.0,131.0,97.0,10.0,10.0,10.0,10.0,1570.0,1.0,1.0,2.0,120.0,2.0,10.0,2.0,120.0,47.66807053,-122.3620862,3.0,100.0,100.0,1.0,1.0,1655.0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1
56,2.0,49.0,97.0,10.0,10.0,10.0,10.0,308.0,1.0,1.0,3.0,110.0,2.0,25.0,1.0,16.0,47.66493716,-122.3616797,4.0,100.0,100.0,2.0,2.0,2078.0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1
57,1.0,12.0,97.0,10.0,10.0,10.0,10.0,61.0,1.0,2.0,2.0,85.0,4.0,10.0,2.0,45.0,47.66520903,-122.3624565,4.0,100.0,100.0,1.0,1.0,1285.0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1
58,1.0,3.0,100.0,10.0,10.0,9.0,10.0,-252.0,1.0,1.0,1.0,90.0,1.0,0.0,3.0,30.0,47.66682168,-122.3629367,3.0,100.0,100.0,1.0,1.0,297.0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1
59,1.0,81.0,95.0,10.0,10.0,10.0,10.0,182.0,1.0,0.0,1.0,75.0,1.0,10.0,1.0,7.0,47.66365549,-122.3669411,2.0,100.0,100.0,1.0,1.0,475.0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
60,1.0,19.0,85.0,8.0,7.0,9.0,9.0,570.0,1.0,1.0,1.0,70.0,1.0,0.0,2.0,14.0,47.66688717,-122.3646641,2.0,33.0,100.0,2.0,2.0,851.0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1
61,1.0,115.0,99.0,10.0,10.0,10.0,10.0,699.0,1.0,0.0,1.0,95.0,2.0,20.0,2.0,30.0,47.66524464,-122.3704095,4.0,100.0,100.0,1.0,1.0,1119.0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1
62,1.0,31.0,95.0,10.0,9.0,10.0,10.0,-77.0,1.0,1.0,1.0,65.0,1.0,0.0,14.0,90.0,47.67098702,-122.3751406,2.0,100.0,100.0,2.0,2.0,622.0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1
63,1.0,125.0,97.0,10.0,10.0,10.0,10.0,1033.0,1.0,1.0,1.0,95.0,2.0,10.0,3.0,60.0,47.66539135,-122.3660988,3.0,100.0,100.0,1.0,1.0,852.0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1
64,1.0,7.0,97.0,9.0,10.0,10.0,10.0,62.0,1.0,1.0,2.0,110.0,2.0,25.0,2.0,10.0,47.67342403,-122.3742328,3.0,100.0,100.0,2.0,2.0,662.0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1
65,1.0,62.0,97.0,10.0,10.0,10.0,10.0,680.0,1.0,1.0,1.0,100.0,1.0,0.0,4.0,15.0,47.66336498,-122.3624685,2.0,100.0,100.0,1.0,1.0,981.0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
66,2.0,10.0,96.0,10.0,10.0,10.0,10.0,716.0,2.0,3.0,3.0,180.0,1.0,0.0,3.0,21.0,47.67133442,-122.3657976,6.0,100.0,100.0,2.0,2.0,1204.0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1
67,1.0,15.0,100.0,10.0,10.0,10.0,10.0,-161.0,1.0,1.0,1.0,120.0,1.0,0.0,2.0,28.0,47.63184304,-122.3451235,2.0,100.0,100.0,1.0,1.0,814.0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1
68,1.0,98.0,98.0,10.0,10.0,10.0,10.0,912.0,2.5,3.0,4.0,250.0,1.0,0.0,2.0,14.0,47.63152636,-122.3562828,6.0,90.0,100.0,1.0,1.0,1252.0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1
69,1.0,28.0,90.0,10.0,9.0,9.0,10.0,135.0,1.0,1.0,1.0,69.0,3.0,30.0,2.0,13.0,47.64290503,-122.346705,4.0,100.0,100.0,1.0,1.0,340.0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1
70,1.0,139.0,97.0,10.0,10.0,10.0,9.0,804.0,1.0,1.0,4.0,98.0,2.0,25.0,1.0,99.0,47.63544456,-122.3555166,5.0,90.0,100.0,1.0,1.0,1014.0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1
71,2.0,1.0,90.0,9.64,10.0,10.0,10.0,0.0,1.0,1.0,1.0,85.0,1.0,0.0,2.0,180.0,47.64291211,-122.3446833,1.0,100.0,79.73,3.0,3.0,1237.0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
72,1.0,17.0,94.0,10.0,10.0,10.0,10.0,-16.0,1.0,1.0,1.0,68.0,1.0,0.0,2.0,15.0,47.62930931,-122.3441362,2.0,100.0,100.0,1.0,1.0,806.0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1
73,1.0,15.0,98.0,10.0,9.0,10.0,10.0,636.0,1.0,1.0,1.0,150.0,1.0,10.0,2.0,6.0,47.63444164,-122.3437841,2.0,81.89,79.73,1.0,1.0,873.0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1
74,1.0,28.0,82.0,9.0,8.0,9.0,9.0,416.0,1.0,1.0,2.0,195.0,1.0,0.0,2.0,14.0,47.62900387,-122.3438233,4.0,81.89,79.73,1.0,1.0,1425.0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1
75,1.0,36.0,97.0,10.0,10.0,10.0,10.0,319.0,1.5,1.0,1.0,90.0,1.0,0.0,2.0,7.0,47.64011972,-122.3445298,2.0,100.0,100.0,1.0,1.0,2022.0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1
76,1.0,1.0,100.0,10.0,10.0,10.0,10.0,0.0,1.0,1.0,1.0,175.0,1.0,0.0,2.0,3.0,47.63082669,-122.3562298,2.0,81.89,79.73,1.0,1.0,310.0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0
77,1.0,12.0,100.0,10.0,10.0,10.0,10.0,131.0,3.5,3.0,3.0,749.0,4.0,45.0,1.0,365.0,47.6327564,-122.3469865,8.0,100.0,100.0,4.0,4.0,598.0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1
78,1.0,2.0,100.0,9.64,10.0,9.79,10.0,334.0,2.0,2.0,2.0,115.0,1.0,0.0,1.0,5.0,47.62846484,-122.3465481,4.0,100.0,100.0,1.0,1.0,538.0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1
